curr_state	curr_action	next_reward	next_state
1986	0	0	1994
1994	0	0	2002
2002	0	0	2010
2010	-1	0	2017
2017	-1	0	2024
2024	0	0	2024
2024	1	0	2025
2025	0	0	2033
2033	-1	0	2040
2040	-1	0	2047
2047	0	0	2039
2039	1	0	2024
2024	-1	0	2031
2031	0	0	2023
2023	1	0	2008
2008	0	0	2008
2008	0	0	2008
2008	0	0	2008
2008	0	0	2008
2008	-1	0	2015
2015	1	0	2000
2000	0	0	2000
2000	1	0	2001
2001	-1	0	2008
2008	0	0	2008
2008	0	0	2008
2008	0	0	2008
2008	0	0	2008
2008	-1	0	2015
2015	1	0	2000
2000	1	0	2001
2001	0	0	2009
